# AAFC-only players left out (name, first season, last season)
Adolph Kowalski,1947,1947
Al Akins,1946,1948
Al Klug,1946,1948
Al Satterfield,1947,1947
Al Vandeweghe,1946,1946
Alex Kapter,1946,1946
Amos Harris,1947,1948
Angelo Bertelli,1946,1948
Ara Parseghian,1948,1949
Armand Cure,1947,1947
Aubrey Fowler,1948,1948
Ben Pucci,1946,1948
Ben Raimondi,1947,1947
Ben Whaley,1949,1949
Bernie Gallagher,1947,1947
Bernie Nygren,1946,1947
Bernie Winkler,1948,1948
Bert Corley,1947,1948
Bert Piggott,1947,1947
Bill Bass,1947,1947
Bill Baumgartner,1947,1947
Bill Chambers,1948,1949
Bill Daley,1946,1948
Bill Gompers,1948,1948
Bill Kellagher,1946,1948
Bill Kerr,1946,1946
Bill Leonard,1949,1949
Bill Lund,1946,1947
Bill Reinhard,1947,1948
Bill Remington,1946,1946
Bill Schroeder,1946,1947
Bill Smith,1948,1948
Bill Stanton,1949,1949
Billy Hillenbrand,1946,1948
Billy Jones,1947,1947
Blondy Black,1946,1947
Bob Bryant,1946,1949
Bob Callahan,1948,1948
Bob Chappuis,1948,1949
Bob Cowan,1947,1949
Bob Heck,1949,1949
Bob Hein,1947,1947
Bob Kelly,1947,1949
Bob Kennedy,1949,1949
Bob Kolesar,1946,1946
Bob Leonetti,1948,1948
Bob Logel,1949,1949
Bob McCain,1946,1946
Bob Mike,1948,1949
Bob Mitchell,1946,1948
Bob Motl,1946,1946
Bob Paffrath,1946,1946
Bob Pfohl,1948,1949
Bob Stefik,1948,1948
Bob Sullivan,1948,1948
Bob Sweiger,1946,1949
Bruno Niedziela,1947,1947
Buckets Hirsch,1947,1949
Buddy Jungmichel,1946,1946
Buddy Tinsley,1949,1949
Burr Baldwin,1947,1949
C.B. Stanley,1946,1946
Carl Allen,1948,1948
Charlie Armstrong,1946,1946
Charlie Elliott,1947,1948
Charlie Huneke,1946,1948
Charlie Pavlich,1946,1946
Charlie Timmons,1946,1946
Chet Kozel,1947,1948
Chuck Taylor,1946,1946
Clarence Howell,1948,1948
Clayton Lane,1948,1948
Cliff Rothrock,1947,1947
Dale Gentry,1946,1948
Dan Dworsky,1949,1949
Daryl Cato,1946,1946
Denny Crawford,1948,1948
Dewey Proctor,1946,1949
Dick Danehe,1947,1948
Dick Handley,1947,1947
Dick Ottele,1948,1948
Dick Renfro,1946,1946
Dick Werder,1948,1948
Don Clark,1948,1949
Don Durdan,1946,1947
Don Griffin,1946,1946
Don Nolander,1946,1946
Don Reece,1946,1946
Don Schneider,1948,1948
Doyle Tackett,1946,1948
Earl Elsey,1946,1946
Earl Howell,1949,1949
Earle Parsons,1946,1947
Ed Balatti,1946,1948
Ed Grain,1947,1948
Ed Gustafson,1947,1948
Ed Jeffers,1947,1947
Ed Kelley,1949,1949
Ed Mieszkowski,1946,1947
Ed Robnett,1947,1947
Ed Sustersic,1949,1949
Ed Ulinski,1946,1949
Eddie Carr,1947,1949
Eddie Forrest,1946,1947
Eddie Prokop,1946,1949
Elmer Madar,1947,1947
Elmore Harris,1947,1947
Ermal Allen,1947,1947
Ernie Case,1947,1947
Ernie Lewis,1946,1949
Farnham Johnson,1948,1948
Fay King,1946,1949
Felto Prewitt,1946,1949
Floyd Collier,1948,1948
Floyd Simmons,1948,1948
Fondren Mitchell,1946,1946
Forrest Hall,1948,1948
Fran Mattingly,1947,1947
Frank Aschenbrenner,1949,1949
Frank Kosikowski,1948,1948
Frank Laurinaitis,1947,1947
Frank Perantoni,1948,1949
Frank Quillen,1946,1947
Frank Trigilio,1946,1946
Frank Yokas,1946,1947
Fred Cardinal,1947,1947
Fred Land,1948,1948
Garland Gregory,1946,1947
Garland Williams,1947,1948
Gasper Urban,1948,1948
Gene Ellenson,1946,1946
Gene Fekete,1946,1946
Gene White,1946,1946
George Benson,1947,1947
George Bernhardt,1946,1948
George Cheroke,1946,1946
George Groves,1947,1948
George Hecht,1947,1947
George Kisiday,1948,1948
George Murphy,1949,1949
George Perpich,1946,1947
George Strohmeyer,1948,1949
George Terlep,1946,1948
Gil Johnson,1949,1949
Gil Meyer,1947,1947
Glenn Dobbs,1946,1949
Gorham Getchell,1947,1947
Hal Puddy,1948,1948
Hal Thompson,1947,1948
Hank Foldberg,1948,1949
Harlan Wetz,1947,1947
Harley McCollum,1946,1947
Harry Burrus,1946,1948
Harry Connolly,1946,1946
Henry Stanton,1946,1947
Herb Coleman,1946,1948
Herb Maack,1946,1946
Herb Nelson,1946,1948
Herb St. John,1948,1949
Herman Wedemeyer,1948,1949
Homer Paine,1949,1949
Hosea Rodgers,1949,1949
Howie Parker,1948,1948
Hub Bechtol,1947,1949
Hub Ulrich,1946,1946
Hugo Marcolini,1948,1948
Ike Owens,1948,1948
Jack Baldwin,1946,1948
Jack Carpenter,1947,1949
Jack Durishan,1947,1947
Jack Flagerman,1948,1948
Jack Freeman,1946,1946
Jack Kramer,1946,1946
Jack McQuary,1946,1946
Jake Leicht,1948,1949
Jeff Durkota,1948,1948
Jerry Mulready,1947,1947
Jerry Whalen,1948,1948
Jesse Freitas,1946,1949
Jim Bailey,1949,1949
Jim Brutz,1946,1948
Jim Camp,1948,1948
Jim Cooper,1948,1948
Jim Cox,1948,1948
Jim Dewar,1947,1948
Jim Landrigan,1947,1947
Jim Lecture,1946,1946
Jim Lukens,1949,1949
Jim McCarthy,1946,1949
Jim O'Neal,1946,1947
Jim Pearcy,1946,1949
Jim Reynolds,1946,1946
Jim Smith,1947,1947
Jim Spruill,1948,1949
Jim Still,1948,1949
Jim Thibaut,1946,1946
Jimmy Nelson,1946,1946
Jimmy Tarrant,1946,1946
Joe Davis,1946,1946
Joe Haynes,1947,1947
Joe Kodba,1947,1947
Joe Krivonak,1946,1946
Joe Magliolo,1948,1948
Joe Morgan,1949,1949
Joe Prokop,1948,1948
Joe Ruetz,1946,1948
Joe Smith,1948,1948
Joe Vetrano,1946,1949
Joe Yackanich,1946,1948
John Batorski,1946,1946
John Billman,1946,1947
John Brown,1947,1949
John Donaldson,1949,1949
John Fekete,1946,1946
John Galvin,1947,1947
John Harrington,1946,1947
John Kerns,1947,1949
John Kimbrough,1946,1948
John Klasnic,1948,1948
John Maskas,1947,1949
John Perko,1946,1946
John Rokisky,1946,1948
John Sylvester,1947,1948
John Tavener,1946,1946
John Wright,1947,1947
Johnny Naumu,1948,1948
Johnny Vardian,1946,1948
Ken Casanega,1946,1948
Ken Holley,1946,1946
Ken Stofer,1946,1946
Ken Whitlow,1946,1946
Lamar Blount,1946,1947
Lamar Davis,1946,1949
Larry Joe,1949,1949
Lee Tevis,1947,1948
Len Masini,1947,1948
Len McCormick,1948,1948
Len Simonetti,1947,1948
Leroy Schneider,1947,1947
Lew Holder,1949,1949
Lew Mayne,1946,1948
Lin Sexton,1948,1948
Lloyd Wasserbach,1946,1947
Lou Daukas,1947,1947
Lou Saban,1946,1949
Lou Sossamon,1946,1948
Lowell Tew,1948,1949
Lu Gambino,1948,1949
Luke Higgins,1947,1947
Marion Shirley,1948,1949
Marshall Shurnas,1947,1947
Marty Comer,1946,1948
Marty Wendell,1949,1949
Max Morris,1946,1948
Mel Conger,1946,1947
Mel Maceau,1946,1948
Mickey Colmer,1946,1949
Mike Graham,1948,1948
Mike Karmazin,1946,1946
Mike Kasap,1947,1947
Mike Patanelli,1947,1947
Mike Perrotti,1948,1949
Mike Phillips,1947,1947
Monk Gafford,1946,1948
Morrie Warren,1948,1948
Ned Maloney,1948,1949
Nelson Greene,1948,1948
Nick Daukas,1946,1947
Nick Forkovitch,1948,1948
Nick Klutka,1946,1946
Nick Susoeff,1946,1949
Norm Cox,1946,1947
Norm Verry,1946,1947
Odell Stautzenberger,1949,1949
Odis Crowell,1947,1947
Ollie Fletcher,1949,1949
Pat Lahey,1946,1947
Patsy Martinelli,1946,1946
Paul Cleary,1948,1949
Paul Duke,1947,1947
Paul Evansen,1948,1948
Paul Gibson,1947,1949
Paul Page,1949,1949
Paul Patterson,1949,1949
Paul Vinnola,1946,1946
Pete Berezney,1947,1948
Pete Franceschi,1946,1946
Pete Lamana,1946,1948
Pete Tillman,1949,1949
Pres Johnston,1946,1946
Prince Scott,1946,1946
Quentin Klenk,1946,1946
Ralph Sazio,1948,1948
Ralph Stewart,1947,1948
Ray Kuffel,1947,1949
Ray Richeson,1949,1949
Ray Terrell,1946,1947
Roland Nabors,1948,1948
Roman Bentz,1946,1948
Roman Piskor,1946,1948
Roy Ruskusky,1947,1947
Rube Thornton,1946,1947
Rudy Mobley,1947,1947
Russ Morrow,1946,1947
Sam Brazinsky,1946,1946
Sam Vacanti,1947,1949
Saxon Judd,1946,1948
Sig Sigurdson,1947,1947
Spiro Dellerba,1947,1949
Stan Kozlowski,1946,1946
Stan Stasica,1946,1946
Steve Sieradzki,1948,1948
Sugarfoot Anderson,1947,1947
Ted Ossowski,1947,1947
Ted Scalissi,1947,1947
Ted Scruggs,1947,1948
Tex Warrington,1946,1948
Tino Sabuco,1949,1949
Tom Casey,1948,1948
Tom Mikula,1948,1948
Tony Sumpter,1946,1947
Van Davis,1947,1949
Vic Kulbitski,1946,1948
Vic Marino,1947,1947
Vic Schleich,1947,1947
Vin Scott,1947,1948
Wally Yonamine,1947,1947
Walt Clay,1946,1949
Walt Heap,1947,1948
Walt McCormick,1948,1948
Walt McDonald,1946,1949
Warren Beson,1949,1949
Wayne Kingery,1949,1949
Wilbur Volz,1949,1949
Win Williams,1948,1949
Ziggy Czarobski,1948,1949
