Manny Acta
Bill Adair
Doc Adams
Bill Armour
Gene Autry
Lee Ballanfant
Frank Bancroft
Al Barlick
Ed Barrow
Wesley Barrow
Buzzie Bavasi
Tony Beasley
Terry Bevington
Hugo Bezdek
John Bickerton
John Boles
Chet Bost
Sam Breadon
Dave Bristol
Charles Bronfman
Daren Brown
Elias Brown
Freeman Brown
John T. Brush
Al Buckenberger
Morgan Bulkeley
Watch Burnham
Gussie Busch
George W. Bush
Ormond Butler
Brian Butterfield
Charlie Byrne
Chino Cadahia
Joe Cantillon
Alexander Cartwright
Ollie Caylor
Henry Chadwick
Happy Chandler
Nestor Chylak
Terry Collins
Tommy Connolly
Kai Correa
Ed Curtis
Charlie Cushman
Harry Dalton
Mordecai Davidson
John Day
Tony DeFrancesco
Bing Devine
Harry Diddlebock
Barney Dreyfuss
Charlie Ebbets
Dino Ebel
Joe Espada
Billy Evans
Bill Evers
Chub Feeney
Wally Fessenden
John Fetzer
Charlie Finley
Horace Fogel
T. F. Fortson
Bud Fowler
George Frazer
Jim Frey
Ford Frick
Judge Fuchs
John Gaffney
Matt Galante
John W. Galbreath
Dave Garcia
Jim Gifford
Warren Giles
Pat Gillick
Larry Goetz
Fredi Gonzalez
Mase Graffen
Calvin Griffith
Pedro Grifol
Charlie Hackett
DeMarlo Hale
Will Harridge
Jim Hart
John Hart
Doug Harvey
Louie Heilbroner
Roland Hemond
Ed Hengel
August Herrmann
Walter Hewett
John Heydler
Trey Hillman
Vedie Himsl
Fred Hoey
Bob Howsam
Cal Hubbard
George Huff
William Hulbert
Tim Hurst
Brandon Hyde
Dave Jauss
Trent Jewett
Ban Johnson
Ewing Kauffman
Johnny Keane
Kevin Kennedy
Bill Klem
Jack Krol
Karl Kuehl
Bowie Kuhn
Kenesaw Landis
Frank Lane
Bob Leadley
Frank Leland
Jim Leyland
Nick Leyva
Rodney Linares
Grady Little
Omar López
Frank Lucchesi
Larry MacPhail
Lee MacPhail
Joe Maddon
Abe Manley
Effa Manley
Tony Mansolino
Oliver Marmol
Jack McCallister
Clayton McCullough
Mel McGaha
Bill McGowan
Jack McKeon
Denny McKnight
John McLaren
George McManus
John McNamara
John McSherry
Stump Merrill
Dave Miley
Marvin Miller
Felix Moses
Billy Murray
Jim Mutrie
Silk O'Loughlin
Walter O'Malley
Paul Owens
Danny Ozark
Steve Palermo
William Patterson
Gabe Paul
Joan Payson
Lou Perini
Hank Peters
Lou Phelan
Horace Phillips
Alex Pompez
Eddie Popowski
Pat Powers
Mike Quade
Matt Quatraro
J.A. Robert Quinn
Vern Rapp
Beans Reardon
Greg Riddoch
Jim Riggleman
Cy Rigler
Stan Robison
Luis Rojas
Pants Rowland
James Rowson
Jacob Ruppert
Eddie Sawyer
Mike Scanlon
Bob Schaefer
Warren Schaeffer
Gus Schmelz
John Schneider
John Schuerholz
Frank Selee
Bud Selig
Bill Sharsig
Derek Shelton
Larry Shepard
Jack Sheridan
Bill Shettsline
Ben Shibe
Mike Shildt
Buck Showalter
Lew Simmons
W. Smith
Brian Snitker
Charles Somers
Harry Spence
George Steinbrenner
Horace Stoneham
Bill Summers
Cedric Tallis
Andrew Thompson
Rob Thomson
Jack Tighe
Jayce Tingler
Carlos Tosca
Tom Trebelhorn
Dave Trembley
Job Trusty
Henry Tucker
Gary Tuck
Luis Urueta
Bill Veeck
Chris Von Der Ahe
A. M. Walker
Greenie Walls
Mike Walsh
John Waltz
Henry Ward
Jock Waters
Harvey Watkins
Pop Watkins
Earl Weaver
George Weiss
Joe West
Lee Weyer
J. L. Wilkinson
Bobby Winkles
C. Bernice Wood
Philip Wrigley
Tom Yawkey
Nick Young
W. P. Young
